Type,Affiliation,Primary,Secondary,Tertiary,Quatrenary,Fifthenary,Sixthenary
CA,SWCS 3rd BN,NORTHCOM,,,,,
CA,USACAPOC HQ,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,350 CACOM,SOUTHCOM,NORTHCOM,,,,
CA,321 BDE ,SOUTHCOM,,,,,
CA,451 BN,SOUTHCOM,,,,,
CA,490 BN,SOUTHCOM,,,,,
CA,413 BN,SOUTHCOM,,,,,
CA,410 BN,SOUTHCOM,,,,,
CA,402 BN,NORTHCOM,,,,,
CA,478 BN,NORTHCOM,,,,,
CA,486 BN,NORTHCOM,,,,,
CA,436 BN,NORTHCOM,,,,,
CA,351 CACOM,INDOPACOM,,,,,
CA,364 BDE,INDOPACOM,,,,,
CA,405 BN,INDOPACOM,,,,,
CA,445 BN,INDOPACOM,,,,,
CA,448 BN,INDOPACOM,,,,,
CA,440 BN,INDOPACOM,,,,,
CA,358 BDE,INDOPACOM,,,,,
CA,416 BN,INDOPACOM,,,,,
CA,425 BN,INDOPACOM,,,,,
CA,492 BN,INDOPACOM,,,,,
CA,426 BN,INDOPACOM,,,,,
CA,352 CACOM,CENTCOM,,,,,
CA,354 BDE,CENTCOM,,,,,
CA,401 BN,CENTCOM,,,,,
CA,414 BN,CENTCOM,,,,,
CA,422 BN,CENTCOM,,,,,
CA,437 BN,CENTCOM,,,,,
CA,360 BDE,CENTCOM,,,,,
CA,412 BN ,CENTCOM,,,,,
CA,431 BN,CENTCOM,,,,,
CA,450 BN,CENTCOM,,,,,
CA,489 BN,CENTCOM,,,,,
CA,353 CACOM,AFRICOM,EUCOM,,,,
CA,304 BDE,AFRICOM,,,,,
CA,403 BN,AFRICOM,,,,,
CA,404 BN,AFRICOM,,,,,
CA,411 BN,AFRICOM,,,,,
CA,443 BN,AFRICOM,,,,,
CA,308 BDE,EUCOM,,,,,
CA,407 BN ,EUCOM,,,,,
CA,415 BN,EUCOM,,,,,
CA,418 BN,EUCOM,,,,,
CA,432 BN,EUCOM,,,,,
CA,361 BDE,EUCOM,,,,,
CA,322 BDE,INDOPACOM,,,,,
CA,95 BDE,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,91 BN,AFRICOM,,,,,
CA,92 BN,EUCOM,,,,,
CA,96 BN,CENTCOM,,,,,
CA,97 BN,INDOPACOM,,,,,
CA,98 BN,SOUTHCOM,,,,,
CA,83 BN,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,83rd: A CO,CENTCOM,,,,,
CA,83rd: B CO,AFRICOM,,,,,
CA,83rd: C CO,EUCOM,,,,,
CA,83rd: D CO,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,83rd: E CO,INDOPACOM,,,,,
CA,83rd: F CO,SOUTHCOM,,,,,
CA,G9 AFRICOM,AFRICOM,,,,,
CA,G9 CENTCOM,CENTCOM,,,,,
CA,G9 EUCOM,EUCOM,,,,,
CA,G9 INDOPACOM,INDOPACOM,,,,,
CA,G9 NORTHCOM,NORTHCOM,,,,,
CA,G9 SOUTHCOM,SOUTHCOM,,,,,
CA,18th (A) CORPS G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,3rd CORPS G9,CENTCOM,EUCOM,SOUTHCOM,NORTHCOM,,
CA,1st CORPS G9,INDOPACOM,AFRICOM,,,,
CA,82nd ABN  DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,101st AASLT DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,10th MTN DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,25th INF DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,4th ID DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,3rd ID DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,1st ID DIV G9 ,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,1st Armored DIV G9,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,1st Cavalry DIV G9 ,AFRICOM,CENTCOM,EUCOM,INDOPACOM,NORTHCOM,SOUTHCOM
CA,TCAPT AFRICOM,AFRICOM,,,,,
CA,TCAPT CENTCOM,CENTCOM,,,,,
CA,TCAPT EUCOM,EUCOM,,,,,
CA,TCAPT INDOPACOM,INDOPACOM,,,,,
CA,TCAPT NORTHCOM,NORTHCOM,,,,,
CA,TCAPT SOUTHCOM,SOUTHCOM,,,,,
SPP,Alabama,EUCOM,,,,,
SPP,Alaska,INDOPACOM,,,,,
SPP,Arizona,CENTCOM,,,,,
SPP,Arkansas,SOUTHCOM,,,,,
SPP,California,EUCOM,AFRICOM,,,,
SPP,Colorado,EUCOM,CENTCOM,,,,
SPP,Connecticut,SOUTHCOM,,,,,
SPP,Delaware,SOUTHCOM,,,,,
SPP,District of Columbia,AFRICOM,SOUTHCOM,,,,
SPP,Florida,SOUTHCOM,,,,,
SPP,Georgia,EUCOM,SOUTHCOM,,,,
SPP,Guam,INDOPACOM,,,,,
SPP,Hawaii,INDOPACOM,,,,,
SPP,Idaho,INDOPACOM,,,,,
SPP,Illinois,EUCOM,,,,,
SPP,Indiana,EUCOM,AFRICOM,,,,
SPP,Iowa,EUCOM,,,,,
SPP,Kansas,EUCOM,,,,,
SPP,Kentucky,AFRICOM,SOUTHCOM,,,,
SPP,Louisiana,SOUTHCOM,,,,,
SPP,Maine,EUCOM,,,,,
SPP,Maryland,EUCOM,,,,,
SPP,Massachusetts,AFRICOM,SOUTHCOM,,,,
SPP,Michigan,EUCOM,AFRICOM,,,,
SPP,Minnesota,EUCOM,,,,,
SPP,Mississippi,CENTCOM,SOUTHCOM,,,,
SPP,Missouri,SOUTHCOM,,,,,
SPP,Montana,CENTCOM,,,,,
SPP,Nebraska,EUCOM,,,,,
SPP,Nevada,INDOPACOM,,,,,
SPP,New Hampshire,SOUTHCOM,,,,,
SPP,New Jersey,EUCOM,,,,,
SPP,New Mexico ,SOUTHCOM,,,,,
SPP,New York,AFRICOM,SOUTHCOM,,,,
SPP,North Carolina,EUCOM,AFRICOM,,,,
SPP,North Dakota,AFRICOM,,,,,
SPP,Ohio ,EUCOM,,,,,
SPP,Oklahoma,EUCOM,,,,,
SPP,Oregon,INDOPACOM,,,,,
SPP,Pennsylvania,EUCOM,,,,,
SPP,Puerto Rico,SOUTHCOM,,,,,
SPP,Rhode Island,NORTHCOM,,,,,
SPP,South Carolina,SOUTHCOM,,,,,
SPP,South Dakota,SOUTHCOM,,,,,
SPP,Tennessee,EUCOM,,,,,
SPP,Texas,EUCOM,SOUTHCOM,,,,
SPP,Utah,AFRICOM,,,,,
SPP,Vermont,EUCOM,AFRICOM,,,,
SPP,Virgin Islands,SOUTHCOM,,,,,
SPP,Virginia,CENTCOM,,,,,
SPP,Washington,INDOPACOM,,,,,
SPP,West Virginia,CENTCOM,SOUTHCOM,,,,
SPP,Wisconsin,SOUTHCOM,,,,,
SPP,Wyoming,AFRICOM,,,,,
Food Security,Farm Bureau,NORTHCOM,,,,,
Food Security,Hudson Valley Agribusiness Development Corp,NORTHCOM,,,,,
CIMIC,Ukraine,EUCOM,,,,,
